Normal,BruteForce
14340277,751086
95883,506431
14210910,741193
81805,504148
14010772,552852
124420,544861
14474969,590900
96264,503007
14365769,587096
98546,495017
14452521,582529
97025,496540
14402296,1060806
317329,760598
13635990,537252
131649,525836
14326198,523934
129747,516324
14259231,407885
154098,353475
14446814,410168
137356,388481
15059783,904424
221065,514041
13761171,921926
171221,517466
14990154,520510
128986,511379
14529760,629330
188342,519749
14055290,584813
82566,470285
14452901,571115
116050,481319
14375281,493876
81805,465339
14542316,498061
81805,488168
14752347,800551
136976,496539
114148,474091
13363941,490452
115669,489691
14576180,536110
128605,485125
14671683,826424
251504,482842
88655,480558
13045850,485124
87132,453163
14891606,826044
253787,664335
191386,529642
13093792,840502
356138,485125
124039,479036
12968611,666998
85611,433758
14393926,551710
182255,534208
14224608,506051
88654,430715
14455946,460012
85611,427670
14623742,268245
72674,259113
14947919,272050
86752,300206
15245842,624384
108820,419680
14148129,452022
129747,430714
14545741,445934
132410,437183
14646571,444032
123278,439085
14590639,265202
165513,310099
204323,255689
68868,245416
346626,243893
64683,241991
101971,241991
61639,241991
414734,245035
74195,241230
364509,243514
73815,243893
111484,240089
69250,234762
351192,234762
69249,233621
324939,232479
78761,230957
116811,229816
68488,230577
362226,229816
70010,227153
344343,236284
78000,233621
5436437,235903
75718,261777
98927,235143
188342,228293
318470,224489
103493,224108
117952,218020
66206,215357
366792,217259
71533,218021
331787,217640
68488,218021
103873,217259
70771,213835
352714,214976
65825,210411
342821,225630
63162,1453470
422343,216498
71532,209649
407124,215357
73434,202420
41854,191006
5398388,142683
63542,180352
232099,136597
42995,139639
286509,138498
57074,129747
291075,131268
46800,128605
72293,127464
45659,128606
243894,130127
48703,125181
235523,129367
48703,126703
72674,123659
44517,124800
241230,125181
45659,121377
228294,125181
48322,120615
103873,119093
42995,118713
238948,118713
46039,117952
332547,125181
46040,117191
79523,123659
60117,125942
139259,114527
52127,115288
28156,105015
7796995,125561
47561,110342
82186,113385
46039,120616
433759,130127
43756,108820
222587,108059
45278,106536
93601,107679
44898,102732
241611,106918
44899,105395
233241,105396
46419,103874
72673,104634
44897,103873
234763,105776
47181,98166
222586,97025
42615,98547
70391,96264
54029,101591
304011,98166
47942,94742
232098,174645
48322,139640
65445,94741
8148947,128225
54790,125942
98547,130127
86372,121376
157904,88274
14451380,112244
38810,84089
15326887,95503
101591,106157
15019450,101971
49464,79902
15366077,233241
178830,215737
118332,198615
14616131,224109
140400,207747
130509,213835
128225,204703
14318588,174645
100069,114528
15159090,124040
67727,103494
15952030,116810
74195,106918
100068,105396
60118,103113
387719,105776
65825,103873
316188,103493
73434,99688
89795,101590
67727,99688
45278,89415
12943118,105396
73434,98547
394568,97786
95883,96264
14328862,68488
65444,61259
15326506,84849
46800,60118
15282749,64302
49464,54791
46801,60498
78761,74576
73053,54791
43376,52127
44136,49084
61640,49463
44898,46800
44137,47942
43375,48702
44518,45278
43756,44518
14405340,52888
48702,45659
15435706,88654
58596,42615
67727,43756
54790,47561
71912,46800
43375,39571
49083,38810
48702,37288
45278,37288
54410,39191
47942,35386
46040,33863
53269,32722
45658,32723
44898,31200
46420,30059
68868,27396
13900811,46801
58596,36527
125181,25873
37288,21308
27395,20166
31580,19024
26254,18263
104254,21307
36527,20166
42995,19024
46419,17883
43756,17883
27014,54410
59737,18644
79522,19405
46420,13317
79523,13697
60117,11795
66205,12176
47562,8371
68488,10273
